subject,description,priority,category
"Cannot log in","Multiple users are unable to log in when using using an automated script with cURL. The console shows a JavaScript error.","Critical","Technical"
"Request to delete account","Please proceed with the permanent deletion of our account (Solutions LLC) and all associated data as per our company policy.","Medium","Account"
"Integration with Zendesk","We rely heavily on Zendesk and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"Data sync issue for Innovate Inc.","There is a data synchronization delay of over nearly 30 minutes for new records to appear on the main dashboard. This is affecting our operations.","Medium","Technical"
"Authentication failure for v2/users","Our application is receiving a consistent '401 Unauthorized' from the /v2/users endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"Feature Idea: audit logs","It would be extremely helpful if you could add a audit logs. This would help us save changes much more efficiently.","Low","Feature Request"
"User permission bug","A user with an 'Admin' role cannot access the user management page; they are getting a 'permission denied' error.","High","Account"
"API returning 404 Not Found","Our application is receiving a consistent '404 Not Found' from the /v1/invoices endpoint. This started this morning.","High","Technical"
"UI/UX Improvement Suggestion","The current workflow for add a user requires too many clicks. It could be streamlined by changing the UI on the API keys section.","Low","Feature Request"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Cannot update payment info","Multiple users are unable to update payment info when using on Chrome on macOS. The console shows a JavaScript error.","High","Technical"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Requesting a refund","Due to the service outage for 8 hours on Tuesday, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Request for better documentation","The documentation for the authentication service is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
